"ticker","year","sen"
DNM,2011,0.185483871
DNL,2011,0.185483871
DNP,2011,0.185483871
HVT,2011,0.185483871
WTC,2011,0.185483871
UPC,2011,0.185483871
DNT,2011,0.185483871
HVX,2011,0.185483871
DNW,2011,0.185483871
QHD,2011,0.185483871
UPH,2011,0.185483871
V21,2011,0.185483871
DOC,2011,0.185483871
BKC,2011,0.185483871
SLS,2011,0.185483871
MA1,2011,0.185483871
DP1,2011,0.185483871
SMA,2011,0.185483871
SMC,2011,0.185483871
SMB,2011,0.185483871
MAC,2011,0.185483871
DPC,2011,0.185483871
DPG,2011,0.185483871
SMT,2011,0.185483871
BLF,2011,0.185483871
DPH,2011,0.185483871
MAS,2011,0.185483871
DPM,2011,0.185483871
DPP,2011,0.185483871
DPR,2011,0.185483871
SNC,2011,0.185483871
DQC,2011,0.185483871
BMC,2011,0.185483871
BMJ,2011,0.185483871
SNZ,2011,0.185483871
BMP,2011,0.185483871
MCC,2011,0.185483871
MCG,2011,0.185483871
MCF,2011,0.185483871
MCH,2011,0.185483871
DRC,2011,0.185483871
MCO,2011,0.185483871
DRH,2011,0.185483871
MCP,2011,0.185483871
DRL,2011,0.185483871
SPD,2011,0.185483871
SPC,2011,0.185483871
SPH,2011,0.185483871
MDF,2011,0.185483871
MDG,2011,0.185483871
SPM,2011,0.185483871
SPV,2011,0.185483871
DSN,2011,0.185483871
DSP,2011,0.185483871
DST,2011,0.185483871
SQC,2011,0.185483871
C12,2011,0.185483871
MEC,2011,0.185483871
KAC,2011,0.185483871
MED,2011,0.185483871
MEF,2011,0.185483871
DTA,2011,0.185483871
DTC,2011,0.185483871
BPC,2011,0.185483871
DTG,2011,0.185483871
DTL,2011,0.185483871
SRB,2011,0.185483871
C21,2011,0.185483871
DTT,2011,0.185483871
SRC,2011,0.185483871
SRF,2011,0.185483871
QNC,2011,0.185483871
KBC,2011,0.185483871
QNP,2011,0.185483871
QNS,2011,0.185483871
SSC,2011,0.185483871
C32,2011,0.185483871
SSG,2011,0.185483871
SSF,2011,0.185483871
KCE,2011,0.185483871
SSM,2011,0.185483871
SSN,2011,0.185483871
DVC,2011,0.185483871
BRC,2011,0.185483871
ST8,2011,0.185483871
MH3,2011,0.185483871
DVP,2011,0.185483871
STC,2011,0.185483871
C47,2011,0.185483871
STG,2011,0.185483871
MHC,2011,0.185483871
STL,2011,0.185483871
KDC,2011,0.185483871
STK,2011,0.185483871
KDH,2011,0.185483871
STP,2011,0.185483871
MHL,2011,0.185483871
BSD,2011,0.185483871
STT,2011,0.185483871
BSC,2011,0.185483871
STS,2011,0.185483871
BSG,2011,0.185483871
C4G,2011,0.185483871
BSL,2011,0.185483871
BT1,2011,0.185483871
BSQ,2011,0.185483871
BST,2011,0.185483871
BT6,2011,0.185483871
MIC,2011,0.185483871
MIM,2011,0.185483871
BTB,2011,0.185483871
DXG,2011,0.185483871
BTD,2011,0.185483871
BTG,2011,0.185483871
BTH,2011,0.185483871
DXL,2011,0.185483871
DXP,2011,0.185483871
BTP,2011,0.185483871
SVC,2011,0.185483871
BTT,2011,0.185483871
DXV,2011,0.185483871
BTW,2011,0.185483871
ONE,2011,0.185483871
SVI,2011,0.185483871
SVT,2011,0.185483871
SWC,2011,0.185483871
ICF,2011,0.185483871
ICI,2011,0.185483871
KGM,2011,0.185483871
BVG,2011,0.185483871
MKP,2011,0.185483871
QST,2011,0.185483871
ICN,2011,0.185483871
DZM,2011,0.185483871
MKV,2011,0.185483871
BVN,2011,0.185483871
ICT,2011,0.185483871
QTC,2011,0.185483871
OPC,2011,0.185483871
BWA,2011,0.185483871
KHL,2011,0.185483871
IDI,2011,0.185483871
KHP,2011,0.185483871
KHS,2011,0.185483871
IDV,2011,0.185483871
C92,2011,0.185483871
BWS,2011,0.185483871
BXH,2011,0.185483871
KIP,2011,0.185483871
GAS,2011,0.185483871
SZB,2011,0.185483871
SZC,2011,0.185483871
MNB,2011,0.185483871
SZL,2011,0.185483871
IFS,2011,0.185483871
XDH,2011,0.185483871
KKC,2011,0.185483871
GCB,2011,0.185483871
MPC,2011,0.185483871
GDA,2011,0.185483871
IHK,2011,0.185483871
GDT,2011,0.185483871
VBC,2011,0.185483871
GDW,2011,0.185483871
VBH,2011,0.185483871
VC2,2011,0.185483871
VC1,2011,0.185483871
VC3,2011,0.185483871
GEG,2011,0.185483871
VC6,2011,0.185483871
VC5,2011,0.185483871
VC7,2011,0.185483871
VC9,2011,0.185483871
KMR,2011,0.185483871
KMT,2011,0.185483871
VCA,2011,0.185483871
VCC,2011,0.185483871
VCF,2011,0.185483871
GEX,2011,0.185483871
VCG,2011,0.185483871
VCM,2011,0.185483871
VCP,2011,0.185483871
IJC,2011,0.185483871
VCR,2011,0.185483871
VCT,2011,0.185483871
VCS,2011,0.185483871
VCX,2011,0.185483871
VCW,2011,0.185483871
EBS,2011,0.185483871
VDL,2011,0.185483871
VDN,2011,0.185483871
VE2,2011,0.185483871
MSH,2011,0.185483871
VDP,2011,0.185483871
VE1,2011,0.185483871
VE3,2011,0.185483871
GGG,2011,0.185483871
VDT,2011,0.185483871
VE8,2011,0.185483871
MSN,2011,0.185483871
ECI,2011,0.185483871
L10,2011,0.185483871
VE9,2011,0.185483871
L12,2011,0.185483871
L14,2011,0.185483871
L18,2011,0.185483871
VEA,2011,0.185483871
